Line,Purpose,Trait,Field_experiment
2MS16_4130-032,Experimental,HD_DON_no_corr,FHB
2MS16_4130-033,Experimental,HD_DON_no_corr,FHB
2MS16_4130-034,Experimental,HD_DON_no_corr,FHB
2MS16_4130-035,Experimental,HD_DON_no_corr,FHB
2MS16_4130-036,Experimental,HD_DON_no_corr,FHB
2MS16_4130-037,Experimental,HD_DON_no_corr,FHB
2MS16_4130-038,Experimental,HD_DON_no_corr,FHB
2MS16_4130-039,Experimental,HD_DON_no_corr,FHB
2MS16_4130-040,Experimental,HD_DON_no_corr,FHB
2MS16_4130-041,Experimental,HD_DON_no_corr,FHB
2MS16_4130-042,Experimental,HD_DON_no_corr,FHB
2MS16_4130-043,Experimental,HD_DON_no_corr,FHB
2MS16_4130-044,Experimental,HD_DON_no_corr,FHB
2MS16_4130-045,Experimental,HD_DON_no_corr,FHB
2MS16_4130-046,Experimental,HD_DON_no_corr,FHB
2MS16_4130-047,Experimental,HD_DON_no_corr,FHB
2MS16_4130-048,Experimental,HD_DON_no_corr,FHB
2MS16_4130-049,Experimental,HD_DON_no_corr,FHB
2MS16_4130-050,Experimental,HD_DON_no_corr,FHB
2MS16_4130-051,Experimental,HD_DON_no_corr,FHB
2MS16_4130-052,Experimental,HD_DON_no_corr,FHB
2MS16_4130-053,Experimental,HD_DON_no_corr,FHB
2MS16_4130-054,Experimental,HD_DON_no_corr,FHB
2MS16_4130-055,Experimental,HD_DON_no_corr,FHB
2MS16_4130-056,Experimental,HD_DON_no_corr,FHB
2MS16_4130-057,Experimental,HD_DON_no_corr,FHB
2MS16_4130-058,Experimental,HD_DON_no_corr,FHB
2MS16_4130-059,Experimental,HD_DON_no_corr,FHB
2MS16_4130-060,Experimental,HD_DON_no_corr,FHB
2MS16_4130-061,Experimental,HD_DON_no_corr,FHB
2MS16_4130-062,Experimental,HD_DON_no_corr,FHB
2MS16_4130-063,Experimental,HD_DON_no_corr,FHB
2MS16_4130-064,Experimental,HD_DON_no_corr,FHB
2MS16_4130-065,Experimental,HD_DON_no_corr,FHB
2MS16_4130-066,Experimental,HD_DON_no_corr,FHB
2MS16_4130-067,Experimental,HD_DON_no_corr,FHB
2MS16_4130-068,Experimental,HD_DON_no_corr,FHB
2MS16_4130-069,Experimental,HD_DON_no_corr,FHB
2MS16_4130-070,Experimental,HD_DON_no_corr,FHB
2MS16_4130-071,Experimental,HD_DON_no_corr,FHB
2MS16_4130-072,Experimental,HD_DON_no_corr,FHB
2MS16_4130-073,Experimental,HD_DON_no_corr,FHB
2MS16_4130-074,Experimental,HD_DON_no_corr,FHB
2MS16_4130-075,Experimental,HD_DON_no_corr,FHB
2MS16_4130-076,Experimental,HD_DON_no_corr,FHB
2MS16_4130-077,Experimental,HD_DON_no_corr,FHB
2MS16_4130-078,Experimental,HD_DON_no_corr,FHB
2MS16_4130-079,Experimental,HD_DON_no_corr,FHB
2MS16_4130-080,Experimental,HD_DON_no_corr,FHB
2MS16_4130-081,Experimental,HD_DON_no_corr,FHB
2MS16_4130-082,Experimental,HD_DON_no_corr,FHB
2MS16_4130-083,Experimental,HD_DON_no_corr,FHB
2MS16_4130-084,Experimental,HD_DON_no_corr,FHB
2MS16_4130-085,Experimental,HD_DON_no_corr,FHB
2MS16_4130-086,Experimental,HD_DON_no_corr,FHB
2MS16_4130-087,Experimental,HD_DON_no_corr,FHB
2MS16_4130-088,Experimental,HD_DON_no_corr,FHB
2MS16_4130-089,Experimental,HD_DON_no_corr,FHB
2MS16_4130-090,Experimental,HD_DON_no_corr,FHB
2MS16_4130-091,Experimental,HD_DON_no_corr,FHB
2MS16_4130-092,Experimental,HD_DON_no_corr,FHB
2MS16_4130-093,Experimental,HD_DON_no_corr,FHB
2MS16_4130-094,Experimental,HD_DON_no_corr,FHB
2MS16_4130-095,Experimental,HD_DON_no_corr,FHB
2MS16_4130-096,Experimental,HD_DON_no_corr,FHB
2MS16_4130-097,Experimental,HD_DON_no_corr,FHB
2MS16_4130-098,Experimental,HD_DON_no_corr,FHB
2MS16_4130-099,Experimental,HD_DON_no_corr,FHB
2MS16_4130-100,Experimental,HD_DON_no_corr,FHB
2MS16_4130-101,Experimental,HD_DON_no_corr,FHB
2MS16_4130-102,Experimental,HD_DON_no_corr,FHB
2MS16_4130-103,Experimental,HD_DON_no_corr,FHB
2MS16_4130-104,Experimental,HD_DON_no_corr,FHB
2MS16_4130-105,Experimental,HD_DON_no_corr,FHB
2MS16_4130-106,Experimental,HD_DON_no_corr,FHB
2MS16_4130-107,Experimental,HD_DON_no_corr,FHB
2MS16_4130-108,Experimental,HD_DON_no_corr,FHB
2MS16_4130-109,Experimental,HD_DON_no_corr,FHB
2MS16_4130-110,Experimental,HD_DON_no_corr,FHB
2MS16_4130-111,Experimental,HD_DON_no_corr,FHB
2MS16_4130-112,Experimental,HD_DON_no_corr,FHB
2MS16_4130-113,Experimental,HD_DON_no_corr,FHB
2MS16_4130-114,Experimental,HD_DON_no_corr,FHB
2MS16_4130-115,Experimental,HD_DON_no_corr,FHB
2MS16_4130-116,Experimental,HD_DON_no_corr,FHB
2MS16_4130-117,Experimental,HD_DON_no_corr,FHB
2MS16_4130-118,Experimental,HD_DON_no_corr,FHB
2MS16_4130-119,Experimental,HD_DON_no_corr,FHB
2MS16_4130-120,Experimental,HD_DON_no_corr,FHB
2MS16_4130-121,Experimental,HD_DON_no_corr,FHB
2MS16_4130-122,Experimental,HD_DON_no_corr,FHB
2MS16_4130-123,Experimental,HD_DON_no_corr,FHB
2MS16_4130-124,Experimental,HD_DON_no_corr,FHB
2MS16_4130-125,Experimental,HD_DON_no_corr,FHB
2MS16_4130-126,Experimental,HD_DON_no_corr,FHB
2MS16_4130-127,Experimental,HD_DON_no_corr,FHB
2MS16_4130-128,Experimental,HD_DON_no_corr,FHB
2MS16_4130-129,Experimental,HD_DON_no_corr,FHB
2MS16_4130-130,Experimental,HD_DON_no_corr,FHB
2MS16_4130-131,Experimental,HD_DON_no_corr,FHB
2MS16_4130-132,Experimental,HD_DON_no_corr,FHB
2MS16_4130-133,Experimental,HD_DON_no_corr,FHB
2MS16_4130-134,Experimental,HD_DON_no_corr,FHB
2MS16_4130-135,Experimental,HD_DON_no_corr,FHB
2MS16_4130-136,Experimental,HD_DON_no_corr,FHB
2MS16_4130-137,Experimental,HD_DON_no_corr,FHB
2MS16_4130-138,Experimental,HD_DON_no_corr,FHB
2MS16_4130-139,Experimental,HD_DON_no_corr,FHB
2MS16_4130-140,Experimental,HD_DON_no_corr,FHB
2MS16_4130-141,Experimental,HD_DON_no_corr,FHB
2MS16_4130-142,Experimental,HD_DON_no_corr,FHB
2MS16_4130-143,Experimental,HD_DON_no_corr,FHB
2MS16_4130-144,Experimental,HD_DON_no_corr,FHB
2MS16_4130-145,Experimental,HD_DON_no_corr,FHB
2MS16_4130-146,Experimental,HD_DON_no_corr,FHB
2MS16_4130-147,Experimental,HD_DON_no_corr,FHB
2MS16_4130-148,Experimental,HD_DON_no_corr,FHB
2MS16_4130-149,Experimental,HD_DON_no_corr,FHB
2MS16_4130-150,Experimental,HD_DON_no_corr,FHB
2MS16_4130-151,Experimental,HD_DON_no_corr,FHB
2MS16_4130-152,Experimental,HD_DON_no_corr,FHB
2MS16_4130-153,Experimental,HD_DON_no_corr,FHB
2MS16_4130-154,Experimental,HD_DON_no_corr,FHB
2MS16_4130-155,Experimental,HD_DON_no_corr,FHB
2MS16_4130-156,Experimental,HD_DON_no_corr,FHB
2MS16_4130-157,Experimental,HD_DON_no_corr,FHB
2MS16_4130-158,Experimental,HD_DON_no_corr,FHB
2MS16_4130-159,Experimental,HD_DON_no_corr,FHB
2MS16_4130-160,Experimental,HD_DON_no_corr,FHB
2MS16_4135-001,Experimental,HD_DON_no_corr,FHB
2MS16_4135-002,Experimental,HD_DON_no_corr,FHB
2MS16_4135-003,Experimental,HD_DON_no_corr,FHB
2MS16_4135-004,Experimental,HD_DON_no_corr,FHB
2MS16_4135-005,Experimental,HD_DON_no_corr,FHB
2MS16_4135-006,Experimental,HD_DON_no_corr,FHB
2MS16_4135-007,Experimental,HD_DON_no_corr,FHB
2MS16_4135-008,Experimental,HD_DON_no_corr,FHB
2MS16_4135-009,Experimental,HD_DON_no_corr,FHB
2MS16_4135-010,Experimental,HD_DON_no_corr,FHB
2MS16_4135-011,Experimental,HD_DON_no_corr,FHB
2MS16_4135-012,Experimental,HD_DON_no_corr,FHB
2MS16_4135-013,Experimental,HD_DON_no_corr,FHB
2MS16_4135-014,Experimental,HD_DON_no_corr,FHB
2MS16_4135-015,Experimental,HD_DON_no_corr,FHB
2MS16_4135-016,Experimental,HD_DON_no_corr,FHB
2MS16_4135-017,Experimental,HD_DON_no_corr,FHB
2MS16_4135-018,Experimental,HD_DON_no_corr,FHB
2MS16_4135-019,Experimental,HD_DON_no_corr,FHB
2MS16_4135-020,Experimental,HD_DON_no_corr,FHB
2MS16_4135-021,Experimental,HD_DON_no_corr,FHB
2MS16_4135-022,Experimental,HD_DON_no_corr,FHB
2MS16_4135-023,Experimental,HD_DON_no_corr,FHB
2MS16_4135-024,Experimental,HD_DON_no_corr,FHB
2MS16_4135-025,Experimental,HD_DON_no_corr,FHB
2MS16_4135-026,Experimental,HD_DON_no_corr,FHB
2MS16_4135-027,Experimental,HD_DON_no_corr,FHB
2MS16_4135-028,Experimental,HD_DON_no_corr,FHB
2MS16_4135-029,Experimental,HD_DON_no_corr,FHB
2MS16_4135-030,Experimental,HD_DON_no_corr,FHB
2MS16_4135-031,Experimental,HD_DON_no_corr,FHB
2MS16_4135-032,Experimental,HD_DON_no_corr,FHB
2MS16_4135-033,Experimental,HD_DON_no_corr,FHB
2MS16_4135-034,Experimental,HD_DON_no_corr,FHB
2MS16_4135-035,Experimental,HD_DON_no_corr,FHB
2MS16_4135-036,Experimental,HD_DON_no_corr,FHB
2MS16_4135-037,Experimental,HD_DON_no_corr,FHB
2MS16_4135-038,Experimental,HD_DON_no_corr,FHB
2MS16_4135-039,Experimental,HD_DON_no_corr,FHB
2MS16_4135-040,Experimental,HD_DON_no_corr,FHB
2MS16_4135-041,Experimental,HD_DON_no_corr,FHB
2MS16_4135-042,Experimental,HD_DON_no_corr,FHB
2MS16_4135-043,Experimental,HD_DON_no_corr,FHB
2MS16_4135-044,Experimental,HD_DON_no_corr,FHB
2MS16_4135-045,Experimental,HD_DON_no_corr,FHB
2MS16_4135-046,Experimental,HD_DON_no_corr,FHB
